ID Card,Tipo de Card,Status,SLA Resposta,SLA Resolução,Equipe,Data de Criação,Data de resolução,Data de reabertura,Data prevista para entrega,Data replanejada para entrega,Horas estimadas do projeto,Data da carga
118091,SUBTASK,Done,,,Equipe 1,2025-06-22,2025-07-20,,2025-07-09,,,2025-07-20
109539,SUBTASK,Done,,,Equipe 1,2025-04-06,2025-04-18,,2025-04-18,2025-05-05,,2025-04-18
115854,SUBTASK,Done,,,Equipe 1,2025-08-30,2025-09-11,,2025-09-24,,,2025-09-11
107905,SUBTASK,Done,,,Equipe 1,2025-08-14,2025-09-01,,2025-09-09,,,2025-09-01
116661,SUBTASK,Done,,,Equipe 1,2025-07-07,2025-07-29,,2025-07-27,,,2025-07-29
108552,SUBTASK,Done,,,Equipe 1,2025-05-06,2025-05-22,,2025-05-21,,,2025-05-22
117180,BUG,Done,MET,MET,Equipe 1,2025-11-02,2025-11-25,,2025-11-26,,32,2025-11-25
110378,SUBTASK,Done,,,Equipe 2,2025-07-10,2025-07-22,,2025-08-06,,,2025-07-22
102085,BUG SUBTASK,Done,,,Equipe 1,2025-08-07,2025-08-21,,2025-09-04,,,2025-08-21
110364,SUBTASK,Done,,,Equipe 2,2025-08-26,2025-09-19,2025-10-06,2025-09-09,,,2025-09-19
112295,BUG SUBTASK,Done,,,Equipe 1,2025-09-16,2025-10-16,,2025-09-27,,,2025-10-16
103522,INICIATIVE,Done,,,Equipe 1,2025-06-17,2025-07-11,,2025-07-05,,,2025-07-11
119486,TASK,Done,,,Equipe 3,2025-10-28,2025-11-11,,2025-11-25,2025-12-16,112,2025-11-11
106782,SUBTASK,Canceled,,,Equipe 3,2025-05-23,2025-06-18,,2025-06-02,,,2025-06-18
109458,BUG SUBTASK,Canceled,,,Equipe 1,2025-07-28,2025-08-23,,2025-08-18,,,2025-08-23
123961,TASK,Done,,,Equipe 1,2025-06-20,2025-07-02,,2025-07-15,,80,2025-07-02
117657,SUBTASK,Done,,,Equipe 1,2025-01-14,2025-01-29,,2025-02-02,2025-02-11,,2025-01-29
114342,BUG SUBTASK,Done,,,Equipe 1,2025-08-19,2025-09-11,,2025-09-07,2025-09-27,,2025-09-11
106339,BUG,Done,MET,MET,Equipe 1,2025-01-09,2025-02-02,,2025-01-28,,76,2025-02-02
119642,BUG,Done,MET,MET,Equipe 1,2025-01-19,2025-02-07,,2025-02-14,,24,2025-02-07
117842,EPIC,Done,,,Equipe 4,2025-06-06,2025-06-25,,2025-07-03,,,2025-06-25
107155,SUBTASK,Done,,,Equipe 1,2025-05-17,2025-06-05,,2025-06-12,,,2025-06-05
113258,SUBTASK,Done,,,Equipe 1,2025-06-18,2025-07-09,,2025-06-28,,,2025-07-09
117837,SUBTASK,Done,,,Equipe 1,2025-05-01,2025-05-14,,2025-05-30,,,2025-05-14
120504,BUG,Done,MET,MET,Equipe 1,2025-12-14,2026-01-10,,2026-01-09,,8,2026-01-10
118080,SUBTASK,Done,,,Equipe 1,2025-09-14,2025-09-30,,2025-09-24,,,2025-09-30
118894,TASK,Done,,,Equipe 1,2025-11-06,2025-11-24,,2025-11-21,,76,2025-11-24
114906,SUBTASK,Done,,,Equipe 1,2025-07-23,2025-08-11,,2025-08-20,,,2025-08-11
119712,SUBTASK,Done,,,Equipe 6,2025-07-30,2025-08-29,,2025-08-16,2025-09-12,,2025-08-29
106698,BUG SUBTASK,Done,,,Equipe 1,2025-07-07,2025-08-02,,2025-07-22,,,2025-08-02
104384,SUBTASK,Done,,,Equipe 1,2025-06-07,2025-06-23,,2025-06-17,,,2025-06-23
101621,BUG SUBTASK,Done,,,Equipe 1,2025-03-18,2025-03-29,,2025-04-07,,,2025-03-29
