Código do colaborador,Data de Admissão,Data de desligamento,Ano-mês de referência,Equipe
HBRP,2025-06-09,,2025-07,Equipe 17
HBRP,2025-06-09,,2025-08,Equipe 17
HBRP,2025-06-09,,2025-09,Equipe 17
HBRP,2025-06-09,,2025-10,Equipe 17
HBRP,2025-06-09,,2025-11,Equipe 17
HBRP,2025-06-09,,2025-12,Equipe 17
OIG8,2025-06-13,,2025-07,Equipe 11
OIG8,2025-06-13,,2025-08,Equipe 11
OIG8,2025-06-13,,2025-09,Equipe 11
OIG8,2025-06-13,,2025-10,Equipe 11
OIG8,2025-06-13,,2025-11,Equipe 14
OIG8,2025-06-13,,2025-12,Equipe 14
FNO6,2025-11-28,,2025-12,Equipe 11
B9M8,2025-02-13,,2025-03,Equipe 10
B9M8,2025-02-13,,2025-04,Equipe 10
B9M8,2025-02-13,,2025-05,Equipe 10
B9M8,2025-02-13,,2025-06,Equipe 10
B9M8,2025-02-13,,2025-07,Equipe 10
B9M8,2025-02-13,,2025-08,Equipe 10
B9M8,2025-02-13,,2025-09,Equipe 10
B9M8,2025-02-13,,2025-10,Equipe 10
B9M8,2025-02-13,,2025-11,Equipe 10
B9M8,2025-02-13,,2025-12,Equipe 10
0O2R,2025-08-02,,2025-09,Equipe 7
0O2R,2025-08-02,,2025-10,Equipe 7
0O2R,2025-08-02,,2025-11,Equipe 7
0O2R,2025-08-02,,2025-12,Equipe 7
AK1V,2025-02-16,,2025-03,Equipe 14
AK1V,2025-02-16,,2025-04,Equipe 14
AK1V,2025-02-16,,2025-05,Equipe 14
AK1V,2025-02-16,,2025-06,Equipe 12
AK1V,2025-02-16,,2025-07,Equipe 12
AK1V,2025-02-16,,2025-08,Equipe 12
AK1V,2025-02-16,,2025-09,Equipe 12
AK1V,2025-02-16,,2025-10,Equipe 12
AK1V,2025-02-16,,2025-11,Equipe 12
AK1V,2025-02-16,,2025-12,Equipe 12
RJNV,2025-10-28,,2025-11,Equipe 19
RJNV,2025-10-28,,2025-12,Equipe 19
GFYG,2025-01-08,,2025-02,Equipe 6
GFYG,2025-01-08,,2025-03,Equipe 6
GFYG,2025-01-08,,2025-04,Equipe 6
GFYG,2025-01-08,,2025-05,Equipe 6
GFYG,2025-01-08,,2025-06,Equipe 6
GFYG,2025-01-08,,2025-07,Equipe 6
GFYG,2025-01-08,,2025-08,Equipe 6
GFYG,2025-01-08,,2025-09,Equipe 6
GFYG,2025-01-08,,2025-10,Equipe 6
GFYG,2025-01-08,,2025-11,Equipe 6
GFYG,2025-01-08,,2025-12,Equipe 6
38HY,2025-09-19,,2025-10,Equipe 17
38HY,2025-09-19,,2025-11,Equipe 17
38HY,2025-09-19,,2025-12,Equipe 17
F9SX,2025-06-01,,2025-06,Equipe 14
F9SX,2025-06-01,,2025-07,Equipe 14
F9SX,2025-06-01,,2025-08,Equipe 14
F9SX,2025-06-01,,2025-09,Equipe 14
F9SX,2025-06-01,,2025-10,Equipe 14
F9SX,2025-06-01,,2025-11,Equipe 14
F9SX,2025-06-01,,2025-12,Equipe 14
MECO,2025-03-25,,2025-04,Equipe 8
MECO,2025-03-25,,2025-05,Equipe 8
MECO,2025-03-25,,2025-06,Equipe 8
MECO,2025-03-25,,2025-07,Equipe 8
MECO,2025-03-25,,2025-08,Equipe 8
MECO,2025-03-25,,2025-09,Equipe 8
MECO,2025-03-25,,2025-10,Equipe 8
MECO,2025-03-25,,2025-11,Equipe 8
MECO,2025-03-25,,2025-12,Equipe 7
SFOG,2025-02-10,2025-05-19,2025-03,Equipe 20
SFOG,2025-02-10,2025-05-19,2025-04,Equipe 20
SFOG,2025-02-10,2025-05-19,2025-05,Equipe 20
YR3X,2025-11-18,,2025-12,Equipe 20
REK8,2025-07-08,,2025-08,Equipe 12
REK8,2025-07-08,,2025-09,Equipe 12
REK8,2025-07-08,,2025-10,Equipe 12
REK8,2025-07-08,,2025-11,Equipe 12
REK8,2025-07-08,,2025-12,Equipe 12
PK3Y,2025-10-25,,2025-11,Equipe 19
PK3Y,2025-10-25,,2025-12,Equipe 19
R9OU,2025-07-25,,2025-08,Equipe 9
R9OU,2025-07-25,,2025-09,Equipe 9
R9OU,2025-07-25,,2025-10,Equipe 9
R9OU,2025-07-25,,2025-11,Equipe 9
R9OU,2025-07-25,,2025-12,Equipe 9
DOCU,2025-08-16,,2025-09,Equipe 17
DOCU,2025-08-16,,2025-10,Equipe 2
DOCU,2025-08-16,,2025-11,Equipe 2
DOCU,2025-08-16,,2025-12,Equipe 2
ZREN,2025-07-14,2025-11-22,2025-08,Equipe 7
ZREN,2025-07-14,2025-11-22,2025-09,Equipe 7
ZREN,2025-07-14,2025-11-22,2025-10,Equipe 7
ZREN,2025-07-14,2025-11-22,2025-11,Equipe 7
UN5Z,2025-02-25,,2025-03,Equipe 20
