Card,Data da alteração,Objeto alterado,Valor anterior,Valor posterior
103522,2025-06-20,status,Lista de desejos,Backlog
103522,2025-06-24,status,Backlog,Triage
103522,2025-06-27,status,Triage,For Refinement
103522,2025-07-01,status,For Refinement,In Refinement
103522,2025-07-04,status,In Refinement,In Progress
103522,2025-07-08,status,In Progress,Done
108596,2025-07-10,status,Lista de desejos,Backlog
108596,2025-07-12,status,Backlog,Triage
108596,2025-07-14,status,Triage,For Refinement
108596,2025-07-17,status,For Refinement,In Refinement
108596,2025-07-19,status,In Refinement,In Progress
108596,2025-07-21,status,In Progress,Done
109380,2025-09-18,status,Lista de desejos,Backlog
109380,2025-09-21,status,Backlog,Triage
109380,2025-09-25,status,Triage,For Refinement
109380,2025-09-29,status,For Refinement,In Refinement
109380,2025-10-03,status,In Refinement,In Progress
109380,2025-10-06,status,In Progress,Done
103923,2025-06-06,status,Backlog,Triage
103923,2025-06-12,status,Triage,For Refinement
103923,2025-06-19,status,For Refinement,In Refinement
103923,2025-06-25,status,In Refinement,For Technical Analysis
103923,2025-07-01,status,For Technical Analysis,In Technical Analysis
103923,2025-07-08,status,In Technical Analysis,Ready for Development
103923,2025-07-14,status,Ready for Development,In Development
114620,2025-02-26,status,Backlog,Triage
114620,2025-03-01,status,Triage,For Refinement
114620,2025-03-03,status,For Refinement,In Refinement
114620,2025-03-06,status,In Refinement,For Technical Analysis
114620,2025-03-09,status,For Technical Analysis,In Technical Analysis
116044,2025-05-20,status,Lista de desejos,Backlog
116044,2025-05-22,status,Backlog,Triage
116044,2025-05-23,status,Triage,For Refinement
116044,2025-05-25,status,For Refinement,In Refinement
116044,2025-05-26,status,In Refinement,In Progress
116044,2025-05-27,status,In Progress,Done
116044,2025-05-29,status,Done,Canceled
118061,2025-07-19,status,Lista de desejos,Backlog
118061,2025-07-22,status,Backlog,Triage
118061,2025-07-25,status,Triage,For Refinement
118061,2025-07-29,status,For Refinement,In Refinement
118061,2025-08-02,status,In Refinement,In Progress
118061,2025-08-05,status,In Progress,Done
118061,2025-08-08,status,Done,Canceled
116406,2025-06-25,status,Lista de desejos,Backlog
116406,2025-06-28,status,Backlog,Triage
116406,2025-06-30,status,Triage,For Refinement
116406,2025-07-02,status,For Refinement,In Refinement
116406,2025-07-04,status,In Refinement,In Progress
116406,2025-07-07,status,In Progress,Done
120772,2025-01-12,status,Lista de desejos,Backlog
120772,2025-01-15,status,Backlog,Triage
120772,2025-01-17,status,Triage,For Refinement
120772,2025-01-20,status,For Refinement,In Refinement
120772,2025-01-22,status,In Refinement,In Progress
120772,2025-01-25,status,In Progress,Done
111084,2025-09-03,status,Backlog,Triage
111084,2025-09-04,status,Triage,For Refinement
111084,2025-09-05,status,For Refinement,In Refinement
111084,2025-09-06,status,In Refinement,For Technical Analysis
111084,2025-09-07,status,For Technical Analysis,In Technical Analysis
111084,2025-09-08,status,In Technical Analysis,Ready for Development
111084,2025-09-09,status,Ready for Development,In Development
111084,2025-09-10,status,In Development,For Release
111084,2025-09-11,status,For Release,Waiting Information
111084,2025-09-12,status,Waiting Information,Information Sent
112873,2025-11-17,status,Lista de desejos,Backlog
112873,2025-11-21,status,Backlog,Triage
112873,2025-11-25,status,Triage,For Refinement
112873,2025-11-29,status,For Refinement,In Refinement
112873,2025-12-03,status,In Refinement,In Progress
112873,2025-12-07,status,In Progress,Done
100249,2025-03-31,status,Lista de desejos,Backlog
100249,2025-04-03,status,Backlog,Triage
100249,2025-04-05,status,Triage,For Refinement
100249,2025-04-08,status,For Refinement,In Refinement
100249,2025-04-10,status,In Refinement,In Progress
100249,2025-04-13,status,In Progress,Done
107848,2025-05-30,status,Backlog,Triage
107848,2025-06-13,status,Triage,For Refinement
107848,2025-06-28,status,For Refinement,In Refinement
113757,2025-12-20,status,Lista de desejos,Backlog
113757,2025-12-21,status,Backlog,Triage
113757,2025-12-23,status,Triage,For Refinement
113757,2025-12-24,status,For Refinement,In Refinement
113757,2025-12-26,status,In Refinement,In Progress
113757,2025-12-27,status,In Progress,Done
116166,2025-04-01,status,Backlog,Triage
116166,2025-04-05,status,Triage,For Refinement
116166,2025-04-09,status,For Refinement,In Refinement
116166,2025-04-12,status,In Refinement,For Technical Analysis
116166,2025-04-16,status,For Technical Analysis,In Technical Analysis
116166,2025-04-20,status,In Technical Analysis,Ready for Development
109987,2025-06-04,status,Lista de desejos,Backlog
109987,2025-06-07,status,Backlog,Triage
109987,2025-06-09,status,Triage,For Refinement
109987,2025-06-12,status,For Refinement,In Refinement
109987,2025-06-14,status,In Refinement,In Progress
109987,2025-06-17,status,In Progress,Done
115773,2025-10-02,status,Lista de desejos,Backlog
115773,2025-10-05,status,Backlog,Triage
115773,2025-10-07,status,Triage,For Refinement
115773,2025-10-09,status,For Refinement,In Refinement
115773,2025-10-11,status,In Refinement,In Progress
115773,2025-10-14,status,In Progress,Done
120923,2025-05-30,status,Lista de desejos,Backlog
120923,2025-06-03,status,Backlog,Triage
120923,2025-06-07,status,Triage,For Refinement
120923,2025-06-10,status,For Refinement,In Refinement
120923,2025-06-14,status,In Refinement,In Progress
120923,2025-06-18,status,In Progress,Done
112007,2025-07-27,status,Lista de desejos,Backlog
112007,2025-07-29,status,Backlog,Triage
112007,2025-07-31,status,Triage,For Refinement
112007,2025-08-02,status,For Refinement,In Refinement
112007,2025-08-04,status,In Refinement,In Progress
112007,2025-08-06,status,In Progress,Done
120902,2025-12-20,status,Backlog,Triage
120902,2025-12-24,status,Triage,For Refinement
120902,2025-12-27,status,For Refinement,In Refinement
120902,2025-12-31,status,In Refinement,For Technical Analysis
120902,2026-01-03,status,For Technical Analysis,In Technical Analysis
120902,2026-01-07,status,In Technical Analysis,Ready for Development
101231,2025-06-10,status,Lista de desejos,Backlog
101231,2025-06-13,status,Backlog,Triage
101231,2025-06-17,status,Triage,For Refinement
101231,2025-06-20,status,For Refinement,In Refinement
101231,2025-06-24,status,In Refinement,In Progress
101231,2025-06-27,status,In Progress,Done
101760,2025-07-19,status,Lista de desejos,Backlog
101760,2025-07-23,status,Backlog,Triage
101760,2025-07-27,status,Triage,For Refinement
101760,2025-07-30,status,For Refinement,In Refinement
101760,2025-08-03,status,In Refinement,In Progress
101760,2025-08-07,status,In Progress,Done
121926,2025-01-13,status,Lista de desejos,Backlog
121926,2025-01-15,status,Backlog,Triage
121926,2025-01-18,status,Triage,For Refinement
121926,2025-01-21,status,For Refinement,In Refinement
121926,2025-01-24,status,In Refinement,In Progress
121926,2025-01-26,status,In Progress,Done
106098,2025-09-15,status,Lista de desejos,Backlog
106098,2025-09-19,status,Backlog,Triage
106098,2025-09-23,status,Triage,For Refinement
106098,2025-09-26,status,For Refinement,In Refinement
106098,2025-09-30,status,In Refinement,In Progress
106098,2025-10-04,status,In Progress,Done
120650,2025-05-22,status,Lista de desejos,Backlog
120650,2025-05-25,status,Backlog,Triage
120650,2025-05-28,status,Triage,For Refinement
120650,2025-05-31,status,For Refinement,In Refinement
120650,2025-06-03,status,In Refinement,In Progress
120650,2025-06-06,status,In Progress,Done
113106,2025-07-05,status,Lista de desejos,Backlog
113106,2025-07-06,status,Backlog,Triage
113106,2025-07-07,status,Triage,For Refinement
113106,2025-07-09,status,For Refinement,In Refinement
113106,2025-07-11,status,In Refinement,In Progress
