Data de apontamento,Horas apontadas,Código do colaborador,Card
2025-07-01,1,HBRP,119123
2025-07-02,4,HBRP,103502
2025-07-02,4,HBRP,117934
2025-07-02,3,HBRP,101894
2025-07-03,2,HBRP,110121
2025-07-04,1,HBRP,116743
2025-07-04,1,HBRP,100290
2025-07-04,2,HBRP,110940
2025-07-04,4,HBRP,122432
2025-07-05,1,HBRP,118844
2025-07-05,4,HBRP,116335
2025-07-06,4,HBRP,121090
2025-07-06,8,HBRP,121440
2025-07-06,5,HBRP,114789
2025-07-06,1,HBRP,121393
2025-07-07,7,HBRP,110838
2025-07-07,6,HBRP,107304
2025-07-08,3,HBRP,104104
2025-07-08,4,HBRP,124752
2025-07-08,6,HBRP,110460
2025-07-09,2,HBRP,110213
2025-07-10,2,HBRP,119536
2025-07-10,6,HBRP,108754
2025-07-10,6,HBRP,102423
2025-07-10,5,HBRP,105669
2025-07-11,8,HBRP,119917
2025-07-12,7,HBRP,118277
2025-07-13,5,HBRP,123766
2025-07-14,4,HBRP,117907
2025-07-14,2,HBRP,117008
2025-07-14,1,HBRP,123426
2025-07-15,5,HBRP,100043
2025-07-15,2,HBRP,100733
2025-07-16,2,HBRP,103957
2025-07-16,7,HBRP,120136
2025-07-17,8,HBRP,102396
2025-07-17,6,HBRP,114529
2025-07-17,3,HBRP,102419
2025-07-18,6,HBRP,121301
2025-07-18,4,HBRP,110986
2025-07-18,5,HBRP,123921
2025-07-19,3,HBRP,113842
2025-07-20,3,HBRP,102174
2025-07-20,8,HBRP,113470
2025-07-21,5,HBRP,110918
2025-07-21,4,HBRP,107585
2025-07-21,6,HBRP,110426
2025-07-21,1,HBRP,121323
2025-07-22,1,HBRP,109560
2025-07-22,6,HBRP,108839
2025-07-23,5,HBRP,122231
2025-07-23,2,HBRP,122936
2025-07-23,4,HBRP,111020
2025-07-23,6,HBRP,110899
2025-07-24,8,HBRP,107186
2025-07-24,7,HBRP,112149
2025-07-25,3,HBRP,121196
2025-07-25,5,HBRP,115867
2025-07-25,3,HBRP,100929
2025-07-25,4,HBRP,101602
2025-07-26,7,HBRP,122324
2025-07-26,7,HBRP,108636
2025-07-26,6,HBRP,123671
2025-07-27,3,HBRP,103556
2025-07-27,8,HBRP,123824
2025-07-28,1,HBRP,114760
2025-07-29,3,HBRP,113671
2025-07-30,7,HBRP,104532
2025-07-30,2,HBRP,117202
2025-07-31,7,HBRP,103042
2025-07-31,8,HBRP,107235
2025-07-31,5,HBRP,118544
2025-07-31,1,HBRP,109692
2025-08-01,5,HBRP,114838
2025-08-02,2,HBRP,110161
2025-08-02,5,HBRP,118980
2025-08-02,7,HBRP,114916
2025-08-03,8,HBRP,122476
2025-08-03,1,HBRP,124382
2025-08-04,3,HBRP,105102
2025-08-04,2,HBRP,116284
2025-08-04,5,HBRP,103932
2025-08-05,3,HBRP,106092
2025-08-05,6,HBRP,113800
2025-08-06,1,HBRP,122534
2025-08-06,6,HBRP,115740
2025-08-07,1,HBRP,106193
2025-08-07,2,HBRP,108765
2025-08-07,6,HBRP,121470
2025-08-07,5,HBRP,103257
2025-08-08,1,HBRP,123779
2025-08-08,4,HBRP,110202
2025-08-09,2,HBRP,117828
2025-08-10,2,HBRP,111214
2025-08-10,3,HBRP,112582
2025-08-10,3,HBRP,107121
2025-08-10,8,HBRP,121031
2025-08-11,5,HBRP,106458
2025-08-11,7,HBRP,106126
2025-08-12,4,HBRP,114785
2025-08-12,5,HBRP,121960
2025-08-13,6,HBRP,123890
2025-08-13,8,HBRP,112883
2025-08-13,8,HBRP,112540
2025-08-13,2,HBRP,111639
2025-08-14,4,HBRP,105763
2025-08-14,2,HBRP,117185
2025-08-15,1,HBRP,118529
2025-08-15,4,HBRP,106242
2025-08-15,4,HBRP,119785
2025-08-16,2,HBRP,115315
2025-08-17,4,HBRP,124039
2025-08-18,1,HBRP,114363
2025-08-19,2,HBRP,103570
2025-08-19,4,HBRP,113362
2025-08-19,5,HBRP,100733
2025-08-20,4,HBRP,117909
2025-08-20,3,HBRP,104122
2025-08-20,8,HBRP,122136
2025-08-20,4,HBRP,107539
2025-08-21,7,HBRP,120078
2025-08-21,4,HBRP,114306
2025-08-21,2,HBRP,123038
2025-08-21,2,HBRP,120024
2025-08-22,6,HBRP,117458
2025-08-22,7,HBRP,105194
2025-08-22,7,HBRP,122234
2025-08-22,8,HBRP,121639
2025-08-23,2,HBRP,122236
2025-08-24,7,HBRP,104417
2025-08-25,2,HBRP,116460
2025-08-25,4,HBRP,107785
2025-08-25,4,HBRP,105947
2025-08-26,8,HBRP,120569
2025-08-26,3,HBRP,121264
2025-08-27,3,HBRP,123436
2025-08-27,5,HBRP,114997
2025-08-27,8,HBRP,112939
2025-08-27,4,HBRP,111540
2025-08-28,8,HBRP,111325
2025-08-29,1,HBRP,100033
2025-08-30,2,HBRP,119536
2025-08-31,3,HBRP,115332
2025-08-31,7,HBRP,106296
2025-09-01,8,HBRP,119783
2025-09-01,4,HBRP,113037
2025-09-01,7,HBRP,108499
2025-09-01,1,HBRP,120152
2025-09-02,7,HBRP,100395
2025-09-02,1,HBRP,112073
2025-09-03,5,HBRP,100062
2025-09-03,8,HBRP,110429
2025-09-03,5,HBRP,123324
2025-09-03,7,HBRP,104520
2025-09-04,3,HBRP,118400
2025-09-04,4,HBRP,105180
2025-09-04,5,HBRP,124015
2025-09-04,4,HBRP,104390
2025-09-05,1,HBRP,120253
2025-09-06,1,HBRP,118049
2025-09-06,1,HBRP,116056
2025-09-06,8,HBRP,112241
2025-09-07,1,HBRP,118226
2025-09-07,2,HBRP,110769
2025-09-08,2,HBRP,102123
2025-09-08,2,HBRP,121662
2025-09-09,7,HBRP,123816
2025-09-09,2,HBRP,116215
2025-09-10,1,HBRP,102771
2025-09-10,2,HBRP,103201
2025-09-11,6,HBRP,118731
2025-09-11,5,HBRP,118440
2025-09-11,4,HBRP,121777
2025-09-11,6,HBRP,117550
2025-09-12,5,HBRP,122279
2025-09-12,7,HBRP,114843
2025-09-13,5,HBRP,107186
2025-09-13,8,HBRP,111353
2025-09-14,2,HBRP,114694
2025-09-14,1,HBRP,108992
2025-09-14,8,HBRP,115890
2025-09-15,2,HBRP,117492
2025-09-16,5,HBRP,106779
2025-09-16,3,HBRP,122694
2025-09-17,2,HBRP,109674
2025-09-17,4,HBRP,112185
2025-09-17,6,HBRP,115698
2025-09-18,3,HBRP,116701
2025-09-18,8,HBRP,101651
2025-09-18,5,HBRP,102785
2025-09-19,5,HBRP,116047
2025-09-20,3,HBRP,124006
2025-09-21,2,HBRP,113816
2025-09-21,2,HBRP,120776
2025-09-21,3,HBRP,107992
2025-09-22,5,HBRP,105246
2025-09-22,4,HBRP,113285
2025-09-22,6,HBRP,109385
2025-09-23,5,HBRP,116731
2025-09-23,8,HBRP,112627
2025-09-24,1,HBRP,123166
2025-09-24,2,HBRP,122872
2025-09-24,7,HBRP,101963
2025-09-25,1,HBRP,106392
2025-09-25,1,HBRP,113865
2025-09-25,6,HBRP,118854
2025-09-26,5,HBRP,108877
2025-09-26,3,HBRP,115165
2025-09-27,7,HBRP,107476
2025-09-27,1,HBRP,107713
2025-09-27,2,HBRP,103952
2025-09-27,2,HBRP,103882
2025-09-28,1,HBRP,106436
2025-09-28,6,HBRP,124440
2025-09-29,7,HBRP,112361
2025-09-29,3,HBRP,100734
2025-09-30,5,HBRP,104263
2025-10-01,1,HBRP,118131
2025-10-01,6,HBRP,115141
2025-10-01,4,HBRP,106735
2025-10-02,2,HBRP,105265
2025-10-02,6,HBRP,114753
2025-10-03,3,HBRP,113680
2025-10-03,4,HBRP,103540
2025-10-03,3,HBRP,118697
2025-10-03,3,HBRP,119349
2025-10-04,1,HBRP,109000
2025-10-04,3,HBRP,115116
2025-10-04,6,HBRP,115510
2025-10-04,7,HBRP,105014
2025-10-05,5,HBRP,124106
2025-10-05,3,HBRP,112927
2025-10-06,7,HBRP,114433
2025-10-07,8,HBRP,118853
2025-10-08,4,HBRP,110302
2025-10-08,8,HBRP,110634
2025-10-09,5,HBRP,107993
2025-10-09,4,HBRP,114391
2025-10-09,4,HBRP,104354
2025-10-10,4,HBRP,100397
2025-10-11,6,HBRP,108574
2025-10-11,5,HBRP,119974
2025-10-11,2,HBRP,108181
2025-10-11,5,HBRP,106963
2025-10-12,7,HBRP,108700
2025-10-12,6,HBRP,123344
2025-10-12,1,HBRP,119868
2025-10-13,5,HBRP,108056
2025-10-14,5,HBRP,112157
2025-10-14,1,HBRP,114919
2025-10-15,7,HBRP,104984
2025-10-16,6,HBRP,114200
2025-10-16,7,HBRP,117331
2025-10-16,2,HBRP,124031
2025-10-17,4,HBRP,103652
2025-10-17,5,HBRP,104970
2025-10-17,1,HBRP,114026
2025-10-17,7,HBRP,108376
2025-10-18,4,HBRP,121025
2025-10-19,7,HBRP,100583
2025-10-19,2,HBRP,113151
2025-10-19,6,HBRP,100773
2025-10-20,2,HBRP,121524
2025-10-20,5,HBRP,108879
2025-10-20,5,HBRP,117811
2025-10-21,6,HBRP,106377
2025-10-21,7,HBRP,123776
2025-10-21,5,HBRP,109991
2025-10-21,3,HBRP,117298
2025-10-22,7,HBRP,106767
2025-10-22,7,HBRP,101265
2025-10-23,5,HBRP,123149
2025-10-23,7,HBRP,111682
2025-10-24,5,HBRP,114300
2025-10-25,4,HBRP,111381
2025-10-25,7,HBRP,100211
2025-10-25,6,HBRP,103699
2025-10-26,8,HBRP,119935
2025-10-26,8,HBRP,109001
2025-10-26,4,HBRP,100409
2025-10-26,8,HBRP,107138
2025-10-27,2,HBRP,120477
2025-10-27,5,HBRP,108420
2025-10-28,2,HBRP,121082
2025-10-28,4,HBRP,101081
2025-10-28,5,HBRP,102907
2025-10-29,4,HBRP,121968
2025-10-29,3,HBRP,116819
2025-10-30,1,HBRP,108944
2025-10-31,8,HBRP,106046
2025-10-31,2,HBRP,107342
2025-11-01,7,HBRP,108068
2025-11-01,4,HBRP,120130
2025-11-01,7,HBRP,111819
2025-11-01,8,HBRP,104339
2025-11-02,4,HBRP,119485
2025-11-02,3,HBRP,101660
2025-11-02,1,HBRP,124844
2025-11-02,2,HBRP,120446
2025-11-03,4,HBRP,118198
2025-11-03,3,HBRP,104408
2025-11-03,8,HBRP,109056
2025-11-03,1,HBRP,117177
2025-11-04,2,HBRP,118309
2025-11-04,8,HBRP,100123
2025-11-05,8,HBRP,104625
2025-11-05,6,HBRP,109384
2025-11-06,7,HBRP,115974
2025-11-06,8,HBRP,104232
2025-11-06,3,HBRP,113959
2025-11-06,8,HBRP,117459
2025-11-07,5,HBRP,123500
2025-11-07,4,HBRP,107298
2025-11-07,5,HBRP,122309
2025-11-07,8,HBRP,121528
2025-11-08,5,HBRP,110404
2025-11-08,8,HBRP,118313
2025-11-09,5,HBRP,109710
2025-11-10,5,HBRP,109530
2025-11-10,6,HBRP,105342
2025-11-11,2,HBRP,113182
2025-11-11,3,HBRP,111144
2025-11-11,3,HBRP,104959
2025-11-12,7,HBRP,104918
2025-11-12,3,HBRP,100703
2025-11-13,2,HBRP,124671
2025-11-13,7,HBRP,119060
2025-11-14,6,HBRP,115239
2025-11-14,8,HBRP,124262
2025-11-14,7,HBRP,108621
2025-11-14,1,HBRP,107608
2025-11-15,7,HBRP,109990
2025-11-15,7,HBRP,103767
2025-11-16,7,HBRP,114559
2025-11-17,1,HBRP,101013
2025-11-17,6,HBRP,107126
2025-11-17,5,HBRP,115891
2025-11-17,7,HBRP,116612
2025-11-18,4,HBRP,108058
2025-11-18,8,HBRP,114550
2025-11-18,4,HBRP,114495
2025-11-18,5,HBRP,119896
2025-11-19,8,HBRP,114339
2025-11-19,1,HBRP,112194
2025-11-19,7,HBRP,102955
2025-11-19,6,HBRP,118039
2025-11-20,3,HBRP,110402
2025-11-20,8,HBRP,104948
2025-11-20,3,HBRP,112454
2025-11-20,1,HBRP,100187
2025-11-21,1,HBRP,106663
2025-11-21,2,HBRP,123912
2025-11-21,7,HBRP,113980
2025-11-21,3,HBRP,111574
2025-11-22,3,HBRP,123323
2025-11-22,1,HBRP,107660
2025-11-22,5,HBRP,110069
2025-11-22,7,HBRP,116326
2025-11-23,4,HBRP,112281
2025-11-23,8,HBRP,103897
2025-11-23,6,HBRP,115519
2025-11-24,7,HBRP,110684
2025-11-24,5,HBRP,107529
2025-11-24,7,HBRP,107078
